Data;Endereco;Sentido;referencia;Hora_inicio;Hora_fim;Classificacao
16/02/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;21:17;23:30;INTRANSITAVEL
16/02/2023;R SUSANA DE GOIS;AMBOS;R CORREIA DE SA ;21:22;23:00;INTRANSITAVEL
16/02/2023;R BARTHOLOMEU DO CANTO;ÚNICO;AV NSRA DO O;21:34;23:30;INTRANSITAVEL
18/02/2023;R ZILDA;AMBOS;AV ENG CAETANO ALVARES;14:05;14:30;INTRANSITAVEL
23/02/2023;R MATEUS MASCARENHAS;ÚNICO;R CEL MARIO DE AZEVEDO;16:30;17:45;TRANSITAVEL
10/03/2023;R MATEUS MASCARENHAS;AMBOS;R CEL MARIO DE AZEVEDO;15:32;16:10;INTRANSITAVEL
18/04/2023;R BARTHOLOMEU DO CANTO;ÚNICO;AV NSRA DO O;10:03;11:38;INTRANSITAVEL
18/04/2023;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;10:57;11:42;INTRANSITAVEL
05/10/2023;AV ANTONIO MUNHOZ BONILHA;AMBOS;R CORREIA DE SA ;05:48;05:45;INTRANSITAVEL
08/10/2023;AV ORDEM E PROGRESSO;LIMAO;PC DEL AMOROSO NETO;19:28;19:56;TRANSITAVEL
08/10/2023;R SAMARITA;SUMARE;R MANUEL JOSE RATAO;19:31;20:12;INTRANSITAVEL
23/11/2023;AV OTAVIANO ALVES DE LIMA;A SENNA;PTE FREGUESIA DO O;07:46;08:21;TRANSITAVEL
08/01/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;16:19;17:23;INTRANSITAVEL
08/01/2024;R SAMARITA;SUMARE;R MANUEL JOSE RATAO;16:34;18:23;TRANSITAVEL
10/01/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;18:46;19:49;INTRANSITAVEL
10/01/2024;R BARTHOLOMEU DO CANTO;AMBOS;AV INAJAR DE SOUZA;19:09;19:43;INTRANSITAVEL
10/01/2024;R NELSON FRANCISCO;ÚNICO;R MAEST GABRIEL MIGLIORI;21:37;22:14;INTRANSITAVEL
10/01/2024;AV BRAZ LEME;AMBOS;PTE CASA VERDE;21:45;23:00;INTRANSITAVEL
10/01/2024;R MATEUS MASCARENHAS;ÚNICO;R CEL MARIO DE AZEVEDO;22:02;22:13;INTRANSITAVEL
10/01/2024;PC DEL AMOROSO NETO;SUMARE;R MANUEL JOSE RATAO;22:29;22:32;INTRANSITAVEL
10/01/2024;R CORREIA DE SA ;AMBOS;AV NSRA DO O;21:40;22:14;INTRANSITAVEL
11/01/2024;AV BRAZ LEME;CENTRO-BAIRRO;R DR MELLO NOGUEIRA;05:25;07:26;INTRANSITAVEL
11/01/2024;AV OTAVIANO ALVES DE LIMA;CENTRO-BAIRRO;R ALFONSO RENALDO GALLUCCI;06:59;07:26;TRANSITAVEL
14/02/2024;R BARTHOLOMEU DO CANTO;ÚNICO;AV NSRA DO O;00:21;00:30;INTRANSITAVEL
18/02/2024;R MATEUS MASCARENHAS;AMBOS;AV NSRA DO O;16:22;17:30;INTRANSITAVEL
21/02/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;18:02;19:05;INTRANSITAVEL
05/03/2024;AV ORDEM E PROGRESSO;SUMARE;PC DEL AMOROSO NETO;18:46;19:03;TRANSITAVEL
11/10/2024;R CORREIA DE SA ;AMBOS;AV NSRA DO O;20:07;22:03;TRANSITAVEL
23/10/2024;R DR FREIRE CISNEIRO;BAIRRO-CENTRO;R CEL EUCLIDES MACHADO;07:22;17:02;TRANSITAVEL
06/11/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;16:25;17:49;INTRANSITAVEL
06/11/2024;AV NSRA DO O;AMBOS;R MANUEL PINTO DE CARVALHO;16:30;17:54;INTRANSITAVEL
06/11/2024;AV INAJAR DE SOUZA;LAPA;R RIBEIRO DE MORAIS;16:28;17:43;INTRANSITAVEL
06/11/2024;R RIBEIRO DE MORAIS;LAPA;R ANTONIO DE COUROS;16:46;16:50;INTRANSITAVEL
05/12/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:44;18:21;INTRANSITAVEL
05/12/2024;R CORREIA DE SA ;AMBOS;AV NSRA DO O;19:22;21:11;INTRANSITAVEL
20/12/2024;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:40;20:30;INTRANSITAVEL
24/01/2025;AV ORDEM E PROGRESSO;LIMAO;R SAMARITA;15:56;19:24;INTRANSITAVEL
24/01/2025;AV PROF CELESTINO BOURROUL;AMBOS;AV CASA VERDE;16:07;16:43;INTRANSITAVEL
24/01/2025;AV BRAZ LEME;CENTRO-BAIRRO;R DR MELLO NOGUEIRA;16:31;17:51;TRANSITAVEL
24/01/2025;AV BRAZ LEME;BAIRRO;R ZANZIBAR;16:34;17:48;INTRANSITAVEL
24/01/2025;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;17:33;18:01;TRANSITAVEL
24/01/2025;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;18:53;19:07;INTRANSITAVEL
26/01/2025;AV ANTONIO MUNHOZ BONILHA;ÚNICO;AV NSRA DO O;16:46;17:27;INTRANSITAVEL
29/01/2025;AV ORDEM E PROGRESSO;SUMARE;R SAMARITA;13:06;13:54;TRANSITAVEL
29/01/2025;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;13:13;14:15;INTRANSITAVEL
29/01/2025;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;13:14;14:09;INTRANSITAVEL
29/01/2025;AV ORDEM E PROGRESSO;LIMAO;PC DEL AMOROSO NETO;13:22;14:19;INTRANSITAVEL
01/02/2025;MARGINAL TIETE;A SENNA;PTE JULIO DE MESQUITA NETO;01:50;02:06;INTRANSITAVEL
01/02/2025;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;04:15;07:52;TRANSITAVEL
01/02/2025;PC DEL AMOROSO NETO;LIMAO;R SAMARITA;09:10;09:48;INTRANSITAVEL
02/02/2025;R CORREIA DE SA ;AMBOS;AV NSRA DO O;17:42;17:56;INTRANSITAVEL
06/02/2025;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;19:27;20:43;INTRANSITAVEL
06/02/2025;R BARTHOLOMEU DO CANTO;AMBOS;AV NSRA DO O;19:43;20:30;INTRANSITAVEL
18/02/2025;AV ANTONIO MUNHOZ BONILHA;AMBOS;ALTURA DO N 100;20:32;00:21;INTRANSITAVEL
18/02/2025;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;20:41;21:55;INTRANSITAVEL
26/02/2025;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;16:48;18:33;INTRANSITAVEL
